occ1990dd,occ1990dd_desc,Recode,Recode_desc
536,Locksmiths and safe repairers,23,"Production, craft and repair"
539,Repairers of mechanical controls and valves,23,"Production, craft and repair"
543,Elevator installers and repairers,23,"Production, craft and repair"
544,Millwrights,23,"Production, craft and repair"
549,"Mechanics and repairers, n.e.c.",23,"Production, craft and repair"
558,Supervisors of construction work,23,"Production, craft and repair"
563,"Masons, tilers, and carpet installers",23,"Production, craft and repair"
567,Carpenters,23,"Production, craft and repair"
573,Drywall installers,23,"Production, craft and repair"
575,Electricians,23,"Production, craft and repair"
577,Electric power installers and repairers,23,"Production, craft and repair"
579,"Painters, construction and maintenance",23,"Production, craft and repair"
583,Paperhangers,23,"Production, craft and repair"
584,Plasterers,23,"Production, craft and repair"
585,"Plumbers, pipe fitters, and steamfitters",23,"Production, craft and repair"
588,Concrete and cement workers,23,"Production, craft and repair"
589,Glaziers,23,"Production, craft and repair"
593,Insulation workers,23,"Production, craft and repair"
594,"Paving, surfacing, and tamping equipment operators",23,"Production, craft and repair"
595,Roofers and slaters,23,"Production, craft and repair"
597,Structural metal workers,23,"Production, craft and repair"
598,Drillers of earth,23,"Production, craft and repair"
599,"Construction trades, n.e.c.",23,"Production, craft and repair"
614,Drillers of oil wells,23,"Production, craft and repair"
615,Explosives workers,23,"Production, craft and repair"
616,Miners,23,"Production, craft and repair"
617,Other mining occupations,23,"Production, craft and repair"
628,Production supervisors or foremen,23,"Production, craft and repair"
634,Tool and die makers and die setters,23,"Production, craft and repair"
637,Machinists,23,"Production, craft and repair"
643,Boilermakers,23,"Production, craft and repair"
644,Precision grinders and filers,23,"Production, craft and repair"
645,Patternmakers and model makers,23,"Production, craft and repair"
649,Engravers,23,"Production, craft and repair"
653,Other precision and craft workers,23,"Production, craft and repair"
657,Cabinetmakers and bench carpenters,23,"Production, craft and repair"
658,"Furniture and wood finishers, other precision woodworkers",23,"Production, craft and repair"
666,"Dressmakers and seamstresses, tailors",23,"Production, craft and repair"
668,Upholsterers,23,"Production, craft and repair"
669,Shoe repairers and other precision apparel and fabric workers,23,"Production, craft and repair"
675,"Hand molders and shapers, except jewelers",23,"Production, craft and repair"
677,Optical goods workers,23,"Production, craft and repair"
678,Dental laboratory and medical appliance technicians,23,"Production, craft and repair"
679,Bookbinders,23,"Production, craft and repair"
684,Other precision and craft workers,23,"Production, craft and repair"
686,Butchers and meat cutters,23,"Production, craft and repair"
687,Bakers,23,"Production, craft and repair"
688,Batch food makers,23,"Production, craft and repair"
694,Water and sewage treatment plant operators,23,"Production, craft and repair"
695,Power plant operators,23,"Production, craft and repair"
696,"Plant and system operators, stationary engineers",23,"Production, craft and repair"
699,Other plant and system operators,23,"Production, craft and repair"
703,"Lathe, milling, and turning machine operatives",31,"Operators, fabricators and laborers"
706,Punching and stamping press operatives,31,"Operators, fabricators and laborers"
707,"Rollers, roll hands, and finishers of metal",31,"Operators, fabricators and laborers"
708,Drilling and boring machine operators,31,"Operators, fabricators and laborers"
709,"Grinding, abrading, buffing, and polishing workers",31,"Operators, fabricators and laborers"
713,Forge and hammer operators,31,"Operators, fabricators and laborers"
719,"Molders, and casting machine operators",31,"Operators, fabricators and laborers"
723,Metal platers,31,"Operators, fabricators and laborers"
724,Heat treating equipment operators,31,"Operators, fabricators and laborers"
727,Sawing machine operators and sawyers,31,"Operators, fabricators and laborers"
729,"Nail and tacking, shaping and joining machine operators  (woodworking)",31,"Operators, fabricators and laborers"
733,Other woodworking machine operators,31,"Operators, fabricators and laborers"
734,"Printing machine operators, n.e.c.",31,"Operators, fabricators and laborers"
736,Typesetters and compositors,31,"Operators, fabricators and laborers"
738,Winding and twisting textile/apparel operatives,31,"Operators, fabricators and laborers"
739,"Knitters, loopers, and toppers textile operatives",31,"Operators, fabricators and laborers"
743,Textile cutting machine operators,31,"Operators, fabricators and laborers"
744,Textile sewing machine operators,31,"Operators, fabricators and laborers"
745,Shoemaking machine operators,31,"Operators, fabricators and laborers"
747,Pressing machine operators (clothing),31,"Operators, fabricators and laborers"
749,Misc textile machine operators,31,"Operators, fabricators and laborers"
753,Cementing and gluing maching operators,31,"Operators, fabricators and laborers"
754,"Packers, fillers, and wrappers",31,"Operators, fabricators and laborers"
755,Extruding and forming machine operators,31,"Operators, fabricators and laborers"
756,Mixing and blending machine operatives,31,"Operators, fabricators and laborers"
757,"Separating, filtering, and clarifying machine operators",31,"Operators, fabricators and laborers"
763,Roasting and baking machine operators (food),31,"Operators, fabricators and laborers"
764,"Washing, cleaning, and pickling machine operators",31,"Operators, fabricators and laborers"
765,Paper folding machine operators,31,"Operators, fabricators and laborers"
766,"Furnace, kiln, and oven operators, apart from food",31,"Operators, fabricators and laborers"
769,"Slicing, cutting, crushing and grinding machine operators",31,"Operators, fabricators and laborers"
774,Photographic process workers,31,"Operators, fabricators and laborers"
779,"Machine operators, n.e.c.",31,"Operators, fabricators and laborers"
783,"Welders, solderers and metal cutters",31,"Operators, fabricators and laborers"
785,Assemblers of electrical equipment,31,"Operators, fabricators and laborers"
789,"Hand painting, coating, and decorating occupations",31,"Operators, fabricators and laborers"
799,"Production checkers, graders and sorters in manufacturing",31,"Operators, fabricators and laborers"
803,Supervisors of motor vehicle transportation,31,"Operators, fabricators and laborers"
804,"Truck, delivery, and tractor drivers",31,"Operators, fabricators and laborers"
808,Bus drivers,31,"Operators, fabricators and laborers"
809,Taxi cab drivers and chauffeurs,31,"Operators, fabricators and laborers"
813,Parking lot attendants,31,"Operators, fabricators and laborers"
823,Railroad conductors and yardmasters,31,"Operators, fabricators and laborers"
824,Locomotive operators (engineers and firemen),31,"Operators, fabricators and laborers"
825,"Railroad brake, coupler, and switch operators",31,"Operators, fabricators and laborers"
829,Ship crews and marine engineers,31,"Operators, fabricators and laborers"
834,Water transport infrastructure tenders and crossing guards,31,"Operators, fabricators and laborers"
844,Operating engineers of construction equipment,31,"Operators, fabricators and laborers"
848,"Crane, derrick, winch, hoist and longhsore operators",31,"Operators, fabricators and laborers"
853,Excavating and loading machine operators,31,"Operators, fabricators and laborers"
859,Misc material moving occupations,31,"Operators, fabricators and laborers"
865,"Helpers, constructions",31,"Operators, fabricators and laborers"
866,"Helpers, surveyors",31,"Operators, fabricators and laborers"
869,Construction laborers,31,"Operators, fabricators and laborers"
873,Production helpers,31,"Operators, fabricators and laborers"
875,Garbage and recyclable material collectors,31,"Operators, fabricators and laborers"
878,Machine feeders and offbearers,31,"Operators, fabricators and laborers"
885,Garage and service station related occupations,31,"Operators, fabricators and laborers"
887,Vehicle washers and equipment cleaners,31,"Operators, fabricators and laborers"
888,Packers and packagers by hand,31,"Operators, fabricators and laborers"
889,"Laborers and freight, stock and material handlers, n.e.c.",31,"Operators, fabricators and laborers"
